"Configuration" "MsgSize" "CallsPerSec"
"Stack alloc" 258 71
"Stack alloc" 9249 760
"Stack alloc" 18243 1516
"Stack alloc" 27249 2296
"Stack alloc" 36243 3113
"Stack alloc" 45243 3886
"Stack alloc" 54243 4695
"Stack alloc" 63234 5574
"Heap alloc" 258 169
"Heap alloc" 9249 959
"Heap alloc" 18243 1854
"Heap alloc" 27249 2731
"Heap alloc" 36243 3631
"Heap alloc" 45243 4361
"Heap alloc" 54243 5149
"Heap alloc" 63234 6059
