"Configuration" "MsgSize" "CallsPerSec"
"Stack alloc" 258 101
"Stack alloc" 9249 98
"Stack alloc" 18243 97
"Stack alloc" 27249 97
"Stack alloc" 36243 97
"Stack alloc" 45243 102
"Stack alloc" 54243 102
"Stack alloc" 63234 98
"Heap alloc" 258 2708
"Heap alloc" 9249 3944
"Heap alloc" 18243 3873
"Heap alloc" 27249 3945
"Heap alloc" 36243 3856
"Heap alloc" 45243 3879
"Heap alloc" 54243 3890
"Heap alloc" 63234 3877
