"Configuration" "MsgSize" "CallsPerSec"
"Stack alloc" 258 273
"Stack alloc" 9249 275
"Stack alloc" 18243 283
"Stack alloc" 27249 287
"Stack alloc" 36243 303
"Stack alloc" 45243 287
"Stack alloc" 54243 279
"Stack alloc" 63234 277
"Heap alloc" 258 1294
"Heap alloc" 9249 2192
"Heap alloc" 18243 3733
"Heap alloc" 27249 4027
"Heap alloc" 36243 4667
"Heap alloc" 45243 4326
"Heap alloc" 54243 3965
"Heap alloc" 63234 4104
